履修期名,曜日,1,2,3,4,5,6,科目名,特記事項,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教室,教室,教室,教室,教室,教室,教室,教室,教室,教室,
前期,月,,○,,,,,心理学,Ⅱ群,伊藤　令枝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,
前期,月,,○,,,,,English Communication Ⅰ,,R･C・Lavey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S303,,,,,,,,,,
前期,月,,○,,,,,English Communication Ⅰ,,IAN EDWARD ELLSWORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S203,,,,,,,,,,
後期,月,,○,,,,,心理学,Ⅱ群,伊藤　令枝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,
後期,月,,○,,,,,English Communication Ⅱ,,R･C・Lavey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S303,,,,,,,,,,
後期,月,,○,,,,,English Communication Ⅱ,,IAN EDWARD ELLSWORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S203,,,,,,,,,,
前期,月,,○,,,,,英語特殊講義A,土木，建築，まち 履修推奨時限,水戸　俊介,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,
前期,月,,○,,,,,英語特殊講義A,土木，建築，まち 履修推奨時限,青木　啓子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S201,,,,,,,,,,
前期,月,,○,,,,,英語特殊講義A,土木，建築，まち 履修推奨時限,冨樫　壮央,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,
前期,月,,○,,,,,英語特殊講義A,土木，建築，まち 履修推奨時限,金子　利雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S304,,,,,,,,,,
前期,月,,○,,,,,英語特殊講義B,土木，建築，まち 履修推奨時限,小中　秀彦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,
前期,月,,○,,,,,英語特殊講義B,土木，建築，まち 履修推奨時限,鈴木　孝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,
前期,月,,○,,,,,英語特殊講義B,土木，建築，まち 履修推奨時限,ｼﾞｮﾅｻﾝ･ﾊﾘｿﾝ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S405,,,,,,,,,,
前期,月,,○,,,,,英語特殊講義B,土木，建築，まち 履修推奨時限,髙坂　映子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,
前期,月,,○,,,,,英語特殊講義B,土木，建築，まち 履修推奨時限,鷲尾　郁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,
後期,月,,○,,,,,英語特殊講義A,土木，建築，まち 履修推奨時限,水戸　俊介,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,
後期,月,,○,,,,,英語特殊講義A,土木，建築，まち 履修推奨時限,金子　利雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S304,,,,,,,,,,
